STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:050843,BOULDER 2 CO US,20130508 18:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130508 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130509 05:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130509 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130520 06:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130522 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130529 08:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130601 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130604 22:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130617 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130628 19:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130628 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130701 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130704 16:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130712 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130712 18:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130715 01:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130715 03:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130715 04:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130715 06:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130725 13:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130725 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130725 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130726 16:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130727 23:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130728 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130801 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130801 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130805 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130806 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130810 17:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130812 20:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130821 17:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130826 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130826 22:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130901 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130909 17:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130909 18:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130909 19:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130909 20:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130909 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130909 22:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130910 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130910 09:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130910 12:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 00:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130911 01:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 02:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 03:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 04:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 05:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 06:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 07:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 09:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 11:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 12:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 16:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 17:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130911 18:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130911 19:00,0.80, , 
COOP:050843,BOULDER 2 CO US,20130911 20:00,0.40, , 
COOP:050843,BOULDER 2 CO US,20130911 21:00,0.60, , 
COOP:050843,BOULDER 2 CO US,20130911 22:00,0.90, , 
COOP:050843,BOULDER 2 CO US,20130911 23:00,1.20, , 
COOP:050843,BOULDER 2 CO US,20130912 00:00,2.20, , 
COOP:050843,BOULDER 2 CO US,20130912 01:00,0.40, , 
COOP:050843,BOULDER 2 CO US,20130912 02:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130912 03:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130912 04:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130912 05:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130912 07:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130912 08:00,0.50, , 
COOP:050843,BOULDER 2 CO US,20130912 09:00,0.10, , 
